Orginal,Year,Category,Order,People,Films,Original
5,1950,教育文化映画賞,10,,,教育文化映画賞	「いねの一生」日本映画社
6,1951,日本映画大賞,0,,めし,
6,1951,監督賞,1,成瀬巳喜男,めし,監督賞	成瀬巳喜男「めし」東宝
6,1951,脚本賞,2,木下恵介,カルメン故郷に帰る,脚本賞	木下恵介「カルメン故郷に帰る」松竹
6,1951,男優演技賞,3,笠智衆,"命美わし,海の花火",男優演技賞	笠 智衆「命美わし」松竹、「海の花火」松竹
6,1951,女優演技賞,4,原節子,"めし,麦秋",女優演技賞	原 節子「めし」東宝、「麦秋」松竹
6,1951,女優助演賞,5,田村秋子,"自由学校,少年期",女優助演賞	田村秋子「自由学校」松竹、「少年期」松竹
6,1951,撮影賞,6,玉井正夫,めし,撮影賞	玉井正夫「めし」東宝
6,1951,美術賞,7,久保一雄,"どっこい生きてる,わかれ雲",美術賞	久保一雄「どっこい生きてる」新星映画　劇団前進座、「わかれ雲」スタジオエイト
6,1951,音楽賞,8,高田信一,風雪二十年,音楽賞	高田信一「風雪二十年」東映
6,1951,録音賞,9,藤好昌生,めし,録音賞	藤好昌生「めし」東宝
6,1951,教育文化映画賞,10,,,教育文化映画賞	「中尊寺」朝日新聞文化事業団
6,1951,ニュース映画賞,11,,,ニュース映画賞	［1951年設定］	日本ニュース「噴き出す灼熱の流れ」を含む第272号日本映画社
7,1952,日本映画大賞,0,,生きる,
7,1952,監督賞,1,渋谷実,"現代人,本日休診",監督賞	渋谷 実「現代人」松竹、「本日休診」松竹
7,1952,脚本賞,2,"黒澤明,橋本忍,小国英雄",生きる,脚本賞	黒澤 明　橋本 忍　小国英雄「生きる」東宝
7,1952,男優主演賞,3,佐分利信,"波,お茶漬の味,慟哭",男優主演賞	佐分利 信「波」松竹、「お茶漬の味」松竹、「慟哭」東京プロ　新東宝
7,1952,女優主演賞,4,山田五十鈴,"箱根風雲録,現代人",女優主演賞	山田五十鈴「箱根風雲録」新星映画社　前進座、「現代人」松竹
7,1952,男優助演賞,5,加東大介,"おかあさん,決闘鍵屋の辻",男優助演賞	加東大介「おかあさん」新東宝、「決闘鍵屋の辻」東宝
7,1952,女優助演賞,6,中北千枝子,"丘は花ざかり,おかあさん,稲妻",女優助演賞	中北千枝子「丘は花ざかり」東宝、「おかあさん」新東宝、「稲妻」大映
7,1952,撮影賞,7,宮川一夫,"西陣の姉妹,千羽鶴",撮影賞	宮川一夫「西陣の姉妹」大映、「千羽鶴」大映
7,1952,美術賞,8,小池一美,西陣の姉妹,美術賞	小池一美「西陣の姉妹」大映
7,1952,音楽賞,9,斎藤一郎,"西鶴一代女,おかあさん,稲妻,秘密",音楽賞	斎藤一郎「西鶴一代女」新東宝、「おかあさん」新東宝、「稲妻」大映、「秘密」大映
7,1952,録音賞,10,矢野口文雄,生きる,録音賞	矢野口文雄「生きる」東宝
7,1952,教育文化映画賞,11,,,教育文化映画賞	「結核の生態」日映科学映画製作所
7,1952,ニュース映画賞,12,,,ニュース映画賞	朝日ニュース「東京メーデー」を含む第349号日本映画新社
