matsumura-tatsuo,1914,12,18,,2005,6,18,
otomo-shin,1919,4,13,,,,,true
okami-jojiro,1918,10,31,,2003,12,11,
ifukube-akira,1914,5,31,,2006,2,8,
sata-keiko,1941,6,9,,,,,
sawai-keiko,1945,1,2,,,,,
fujiki-yu,1931,3,2,,2005,12,19,
reason-rhodes,1930,4,19,,2014,12,26,
kobayashi-yukiko,1946,10,6,,,,,
kouchi-momoko,1932,3,7,,1998,11,5,
tsubono-kamayuki,1919,7,26,,,,,true
otowa-nobuko,1924,10,1,,1993,12,22,
kuno-seishiro,1940,4,18,,,,,
natsuki-junpei,1918,6,15,,2010,2,21,
tamblyn-russ,1934,12,30,,,,,
mihashi-tatsuya,1923,11,2,,2004,5,15,
uehara-ken,1909,11,7,,1991,11,23,
oka-yutaka,1925,7,11,,2000,7,27,
sonoda-ayumi,1933,9,23,,,,,
wakamatsu-akira,1933,6,12,,,,,
tanaka-kinuyo,1909,11,29,,1977,3,21,
onoue-katsuro,1960,6,4,,,,,
tachikawa-hiroshi,1931,5,7,,,,,
koseki-yuji,1909,8,11,,1989,8,18,
arikawa-sadamasa,1925,6,17,,2005,9,22,
kurosawa-akira,1910,3,23,,1998,9,6,
kurobe-susumu,1939,10,22,,,,,
tsuda-mitsuo,1910,9,13,,,,,true
anzai-kyoko,1934,9,27,,2002,12,28,
tsuchiya-yoshio,1927,5,18,,2017,2,2,
kato-daisuke,1911,2,8,,1975,7,31,
amamoto-hideyo,1926,1,2,,2003,3,23,
sasaki-takamaru,1898,1,30,,1986,12,28,
takada-minoru,1899,12,20,,1977,12,27,
fujimoto-sanezumi,1910,7,15,,1979,5,2,
dan-ikuma,1924,4,17,,2001,5,17,
tsuburaya-eiji,1901,7,7,,1970,1,25,
kusabue-mitsuko,1933,10,22,,,,,
kirino-nadao,1932,11,24,,,,,
kamiya-makoto,1965,10,6,,,,,
sakai-sachio,1925,9,8,,1998,3,11,
kobayashi-tetsuko,1941,3,12,,1994,12,9,
yamada-minosuke,1893,11,13,,1968,8,3,
nakamura-tetsu,1908,9,19,,1992,8,3,
conway-harold,1911,5,24,,1996,,,
togin-chotaro,1941,11,18,,,,,
hidari-bokuzen,1894,2,20,,1971,5,26,
inoue-yasuyuki,1922,11,26,,2012,2,19,
wyatt-obel,,,,,,,,
ibuki-toru,1940,1,28,,,,,
matsuo-fumindo,1916,8,6,,,,,true
adams-nick,1931,7,10,,1968,2,7,
fujita-susumu,1912,1,8,,1990,3,23,
sato-naoki,1970,5,2,,,,,
furuhata-koji,,,,,,,,
sakamoto-haruya,1928,8,23,,,,,
senda-koreya,1904,7,15,,1994,12,21,
higuchi-shinji,1965,9,22,,,,,
